candidate,NLL_tw,PPL,KL_tw,dNLL_tw,agree_tw,dNLL_CI
ORIGINAL,1.607442,4.99,0.0,0.0,1.0,[0.0, 0.0]
8M_act_b8_g64,1.608529,4.9955,0.000731,0.001088,0.986065,[0.0009, 0.0013]
8M_act_b4_g64,1.829469,6.2306,0.222534,0.222027,0.773565,[0.2159, 0.2234]
8M_act_b4_g128,1.916856,6.7995,0.286464,0.309414,0.740906,[0.3028, 0.3113]
8M_act_b3_g64,2.666777,14.3935,1.053279,1.059335,0.511493,[1.0435, 1.0613]
8M_act_b3_g128,3.057036,21.2644,1.412423,1.449594,0.452989,[1.432, 1.4536]
8M_act_b2_g64,5.410229,223.6829,3.788566,3.802787,0.161334,[3.7697, 3.8157]
8M_vqK256_B8,7.728531,2272.2615,6.122112,6.121089,0.022821,[6.0974, 6.1417]
8M_shareK256_B8,7.446002,1713.0005,5.826402,5.83856,0.027743,[5.8015, 5.8578]
8M_BC_P256,7.447953,1716.3457,5.82566,5.840511,0.031193,[5.8026, 5.8604]
8M_actmeta_b4_g64_sg128,1.975692,7.2116,0.349764,0.36825,0.714564,[0.3602, 0.3699]
