candidate,NLL_tw,KL_tw,agree_tw,dNLL_CI
ORIGINAL,1.443096,0.0,1.0,[0.0, 0.0]
28M_act_b8_g64,1.443639,0.000272,0.992335,[0.0004, 0.0007]
28M_act_b4_g64,1.501991,0.069561,0.876719,[0.0564, 0.0606]
28M_act_b4_g128,1.516751,0.091216,0.856778,[0.0708, 0.0755]
28M_act_b3_g64,1.748123,0.343958,0.732359,[0.2987, 0.3083]
28M_act_b3_g128,1.843874,0.443514,0.696583,[0.3928, 0.4039]
28M_act_b2_g64,3.458385,2.088827,0.358426,[1.9859, 2.0167]
28M_actmeta_b4_g64_sg128,1.539456,0.109635,0.841814,[0.0929, 0.0981]
28M_joint_emb2_attn4_mlp3,1.869442,0.483414,0.670401,[0.42, 0.4316]
28M_shareK256_B8,7.283127,5.941028,0.044689,[5.8129, 5.8619]
28M_vqK256_B8,7.799185,6.464756,0.076752,[6.3232, 6.3745]
28M_BC_P256,7.284835,5.942024,0.045532,[5.8136, 5.8627]
